date,description,amount,category
2025-11-01,Shopify Payout,77640.7,Revenue
2025-11-01,META ADS,-4206.0,Advertising
2025-11-01,Warehouse Lease & Utilities,-26935.0,Warehouse
2025-11-02,UPS Shipping,-1444.0,Shipping
2025-11-02,Customer Refund,-2149.0,Refunds
2025-11-02,Shopify Plus,-2457.0,Software
2025-11-03,Shopify Payout,39295.0,Revenue
2025-11-03,META ADS,-5636.0,Advertising
2025-11-03,Shopify Plus,-2406.0,Software
2025-11-04,META ADS,-4476.0,Advertising
2025-11-04,Shopify Payout,40876.0,Revenue
2025-11-05,Shopify Payout,21169.0,Revenue
2025-11-05,META ADS,-5017.0,Advertising
2025-11-05,Klaviyo,-1804.0,Software
2025-11-06,Shopify Payout,27606.0,Revenue
2025-11-06,META ADS,-7266.0,Advertising
2025-11-06,DHL Ecommerce,-2775.0,Shipping
2025-11-06,Customer Refund,-1013.0,Refunds
2025-11-07,Payroll - Warehouse Staff,-11932.0,Payroll
2025-11-07,Slack,-301.0,Software
2025-11-07,Payroll - Customer Support,-14320.0,Payroll
2025-11-07,Shopify Payout,20614.0,Revenue
2025-11-07,Payroll - Operations Team,-11164.0,Payroll
2025-11-07,META ADS,-3027.0,Advertising
2025-11-07,Payroll - Marketing Team,-14565.0,Payroll
2025-11-08,Shopify Payout,74857.79,Revenue
2025-11-08,META ADS,-6575.0,Advertising
2025-11-08,FedEx Freight,-4308.0,Shipping
2025-11-08,Owner Distribution,-66943.0,Owner Draw
2025-11-09,UPS Shipping,-3856.0,Shipping
2025-11-09,Customer Refund,-211.0,Refunds
2025-11-10,Shopify Payout,31145.0,Revenue
2025-11-10,META ADS,-3928.0,Advertising
2025-11-10,QuickBooks Online,-153.0,Software
2025-11-11,META ADS,-4369.0,Advertising
2025-11-11,Shopify Payout,39064.0,Revenue
2025-11-12,Customer Refund,-2101.0,Refunds
2025-11-12,Shopify Payout,32038.0,Revenue
2025-11-12,META ADS,-5471.0,Advertising
2025-11-13,Shopify Payout,19543.0,Revenue
2025-11-13,META ADS,-3452.0,Advertising
2025-11-14,IRS EFTPS TAX PAYMENT,-47190.0,Taxes
2025-11-14,Shopify Payout,30504.0,Revenue
2025-11-14,META ADS,-6034.0,Advertising
2025-11-14,Payroll - Operations Team,-8688.0,Payroll
2025-11-14,Payroll - Marketing Team,-19645.0,Payroll
2025-11-14,Payroll - Customer Support,-20308.0,Payroll
2025-11-14,Payroll - Warehouse Staff,-10376.0,Payroll
2025-11-15,Shopify Payout,39003.0,Revenue
2025-11-15,META ADS,-4604.0,Advertising
2025-11-15,Warehouse Lease & Utilities,-29791.0,Warehouse
2025-11-16,Customer Refund,-515.0,Refunds
2025-11-17,UPS Shipping,-7446.0,Shipping
2025-11-17,Shopify Payout,27779.0,Revenue
2025-11-17,META ADS,-6358.0,Advertising
2025-11-18,Customer Refund,-1066.0,Refunds
2025-11-18,FedEx Freight,-4173.0,Shipping
2025-11-18,Shopify Payout,35378.0,Revenue
2025-11-18,META ADS,-7106.0,Advertising
2025-11-19,Shopify Payout,36813.35,Revenue
2025-11-19,META ADS,-2766.0,Advertising
2025-11-19,Customer Refund,-2026.0,Refunds
2025-11-20,Shopify Payout,23410.0,Revenue
2025-11-20,META ADS,-7169.0,Advertising
2025-11-20,DHL Ecommerce,-5617.0,Shipping
2025-11-21,Payroll - Customer Support,-9549.0,Payroll
2025-11-21,Payroll - Warehouse Staff,-14039.0,Payroll
2025-11-21,Payroll - Marketing Team,-12181.0,Payroll
2025-11-21,Emergency Warehouse Repair,-28858.0,Warehouse
2025-11-21,META ADS,-7523.0,Advertising
2025-11-21,Shopify Payout,31074.0,Revenue
2025-11-21,Payroll - Operations Team,-12561.0,Payroll
2025-11-22,Owner Distribution,-29643.0,Owner Draw
2025-11-22,UPS Shipping,-1752.0,Shipping
2025-11-22,META ADS,-2781.0,Advertising
2025-11-22,Shopify Payout,37282.0,Revenue
2025-11-23,UPS Shipping,-5176.0,Shipping
2025-11-24,Shopify Payout,36711.0,Revenue
2025-11-24,META ADS,-4190.0,Advertising
2025-11-24,Customer Refund,-477.0,Refunds
2025-11-25,DHL Ecommerce,-6553.0,Shipping
2025-11-25,Customer Refund,-1729.0,Refunds
2025-11-25,Shopify Payout,29609.0,Revenue
2025-11-25,META ADS,-6025.0,Advertising
2025-11-26,Shopify Payout,21580.0,Revenue
2025-11-26,META ADS,-3758.0,Advertising
2025-11-26,FedEx Freight,-2703.0,Shipping
2025-11-27,Shopify Payout,20470.0,Revenue
2025-11-27,META ADS,-6708.0,Advertising
2025-11-27,Chargeback Reserve Hold,-16706.0,Bank Adjustment
2025-11-28,Payroll - Warehouse Staff,-14896.0,Payroll
2025-11-28,IRS EFTPS TAX PAYMENT,-29380.0,Taxes
2025-11-28,Payroll - Customer Support,-8535.0,Payroll
2025-11-28,META ADS,-6178.0,Advertising
2025-11-28,Payroll - Operations Team,-11197.0,Payroll
2025-11-28,Shopify Payout,25745.0,Revenue
2025-11-28,Payroll - Marketing Team,-14709.0,Payroll
2025-11-29,Shopify Payout,32909.0,Revenue
2025-11-29,META ADS,-7906.0,Advertising
2025-11-30,UPS Shipping,-3630.0,Shipping
2025-12-01,Shopify Payout,59045.51,Revenue
2025-12-01,META ADS,-2610.0,Advertising
2025-12-01,Warehouse Lease & Utilities,-20579.0,Warehouse
2025-12-02,Klaviyo,-1793.0,Software
2025-12-02,Shopify Payout,53645.58,Revenue
2025-12-02,META ADS,-16707.51,Advertising
2025-12-02,DHL Ecommerce,-8493.0,Shipping
2025-12-02,Customer Refund,-242.0,Refunds
2025-12-03,Gorgias,-879.0,Software
2025-12-03,Customer Refund,-1701.0,Refunds
2025-12-03,META ADS,-4336.0,Advertising
2025-12-03,Shopify Payout,36521.0,Revenue
2025-12-04,Shopify Payout,32982.0,Revenue
2025-12-04,META ADS,-8359.0,Advertising
2025-12-04,DHL Ecommerce,-6288.0,Shipping
2025-12-05,Slack,-324.0,Software
