date,campaign,spend,impressions,clicks,purchases,revenue,roas
2026-01-01,UGC Prospecting,4449.15,196160,3357,99,17671.02,3.97
2026-01-01,Retargeting - Cart,3666.43,199184,549,7,728.4,0.2
2026-01-01,Lookalike 5%,3226.23,207003,2861,105,8090.43,2.51
2026-01-01,Spring Promo,2179.63,127293,1927,63,6129.23,2.81
2026-01-01,Creators Campaign,2051.94,165843,5199,71,12572.98,6.13
2026-01-02,UGC Prospecting,3655.26,144241,6329,59,3691.4,1.01
2026-01-02,Retargeting - Cart,2491.71,238480,431,94,15850.82,6.36
2026-01-02,Lookalike 5%,2884.53,195687,3886,64,5259.43,1.82
2026-01-02,Spring Promo,3727.28,202223,4731,73,13101.82,3.52
2026-01-02,Creators Campaign,1301.95,139863,2653,133,19214.36,14.76
2026-01-03,UGC Prospecting,4541.04,114332,6384,106,7064.52,1.56
2026-01-03,Retargeting - Cart,4365.8,205736,4393,43,6698.39,1.53
2026-01-03,Lookalike 5%,2004.39,207892,706,62,10592.91,5.28
2026-01-03,Spring Promo,1289.3,67661,8403,76,12977.18,10.07
2026-01-03,Creators Campaign,4620.13,172236,6147,61,4826.12,1.04
2026-01-04,UGC Prospecting,4836.99,136194,1626,48,2642.42,0.55
2026-01-04,Retargeting - Cart,3037.47,130024,1169,116,19637.35,6.47
2026-01-04,Lookalike 5%,5843.8,242011,5244,98,9276.84,1.59
2026-01-04,Spring Promo,5910.05,171893,1650,26,3839.92,0.65
2026-01-04,Creators Campaign,2644.21,53350,2278,90,8576.86,3.24
2026-01-05,UGC Prospecting,2613.25,203115,1273,15,2484.98,0.95
2026-01-05,Retargeting - Cart,1867.44,181502,5143,16,1513.77,0.81
2026-01-05,Lookalike 5%,5647.77,44466,2115,53,6206.36,1.1
2026-01-05,Spring Promo,2596.72,239993,7290,46,5974.65,2.3
2026-01-05,Creators Campaign,4330.89,200810,5703,65,11041.53,2.55
2026-01-06,UGC Prospecting,2876.41,68823,6731,120,20452.94,7.11
2026-01-06,Retargeting - Cart,3438.49,213684,3528,89,6369.77,1.85
2026-01-06,Lookalike 5%,4536.07,92944,6509,6,501.68,0.11
2026-01-06,Spring Promo,2093.69,61391,2827,87,11619.03,5.55
2026-01-06,Creators Campaign,1718.96,44224,2342,98,15330.45,8.92
2026-01-07,UGC Prospecting,4088.37,99155,4709,11,1883.69,0.46
2026-01-07,Retargeting - Cart,715.4,247775,2725,50,7715.17,10.78
2026-01-07,Lookalike 5%,1371.47,196198,6183,82,14219.13,10.37
2026-01-07,Spring Promo,5050.93,49022,2041,14,1962.04,0.39
2026-01-07,Creators Campaign,4598.72,153180,3525,71,8209.79,1.79
2026-01-08,UGC Prospecting,2963.02,145854,4329,19,1413.7,0.48
2026-01-08,Retargeting - Cart,2625.36,169978,5384,12,1381.94,0.53
2026-01-08,Lookalike 5%,4432.25,128720,1730,130,20896.54,4.71
2026-01-08,Spring Promo,3672.19,126461,7761,91,6246.32,1.7
2026-01-08,Creators Campaign,4977.02,69849,4400,59,3334.24,0.67
2026-01-09,UGC Prospecting,568.15,228485,2322,135,14248.29,25.08
2026-01-09,Retargeting - Cart,3386.77,126184,2405,24,3407.67,1.01
2026-01-09,Lookalike 5%,1967.21,224441,6120,51,6108.4,3.11
2026-01-09,Spring Promo,5841.76,242459,5332,126,7875.59,1.35
2026-01-09,Creators Campaign,3036.32,56739,4924,49,3534.16,1.16
2026-01-10,UGC Prospecting,4455.38,175855,4575,43,2760.08,0.62
2026-01-10,Retargeting - Cart,4107.26,51605,627,121,20675.07,5.03
2026-01-10,Lookalike 5%,832.38,209182,980,25,3440.69,4.13
2026-01-10,Spring Promo,1189.37,213402,1402,59,4230,3.56
2026-01-10,Creators Campaign,4358.32,84327,2407,118,8530.71,1.96
2026-01-11,UGC Prospecting,5790.94,140419,6117,112,16760.65,2.89
2026-01-11,Retargeting - Cart,2457.27,110121,5375,12,1418.58,0.58
2026-01-11,Lookalike 5%,3768.71,143400,4114,47,8457.37,2.24
2026-01-11,Spring Promo,5032.46,245102,7138,83,13822.28,2.75
2026-01-11,Creators Campaign,3281.47,92606,6241,14,1049.57,0.32
2026-01-12,UGC Prospecting,2866.63,205072,3967,74,7978.78,2.78
2026-01-12,Retargeting - Cart,2034.35,69234,8391,117,7281.84,3.58
2026-01-12,Lookalike 5%,3709.77,76360,4246,97,14501.54,3.91
2026-01-12,Spring Promo,615.55,223721,3160,137,17410.83,28.28
2026-01-12,Creators Campaign,5088.99,131849,4897,136,15930.68,3.13
2026-01-13,UGC Prospecting,545.35,122078,5392,133,14380.04,26.37
2026-01-13,Retargeting - Cart,4481.8,249254,8093,86,11108.08,2.48
